"","title","year","length","budget","rating","votes","mpaa","genre"
"143442","It Could Happen to You",1994,101,NA,6.2,5005,"","Comedy"
"143444","It Grows on Trees",1952,84,NA,6,60,"","Comedy"
"143445","It Had to Be You",1947,98,NA,6,48,"","Comedy"
"143448","It Happened One Night",1934,105,325000,8.3,7924,"","Comedy"
"143449","It Happened Tomorrow",1944,85,NA,7.3,171,"","Comedy"
"143451","It Happened in Athens",1962,100,NA,4.9,34,"","Comedy"
"143452","It Happened in Brooklyn",1947,104,NA,5.9,82,"","Comedy"
"143454","It Happened in Hollywood",1937,67,NA,7,5,"","Comedy"
"143456","It Happened in Paris",1935,68,NA,4.1,7,"","Comedy"
"143457","It Happened on 5th Avenue",1947,116,1700000,7.6,69,"","Comedy"
"143458","It Happened to Jane",1959,97,NA,6.6,175,"","Comedy"
"143459","It Happens Every Spring",1949,87,NA,7.3,311,"","Comedy"
"143460","It Happens Every Thursday",1953,80,NA,4.9,34,"","Comedy"
"143463","It Might Be Worse",1931,18,NA,4.1,6,"","Comedy"
"143464","It Pays to Advertise",1931,63,NA,5.9,5,"","Comedy"
"143466","It Runs in the Family",1994,85,NA,5.4,202,"","Comedy"
"143468","It Seemed Like a Good Idea at the Time",1975,90,NA,5.1,43,"","Comedy"
"143469","It Should Happen to You",1954,86,NA,7,319,"","Comedy"
"143470","It Shouldn't Happen to a Dog",1946,70,NA,7.5,5,"","Comedy"
"143472","It Started in Naples",1960,100,NA,5.6,209,"","Comedy"
"143474","It Started with Eve",1941,90,1166000,7.4,136,"","Comedy"
"143475","It Started with a Kiss",1959,104,NA,5.6,93,"","Comedy"
"143477","It Takes Two",1995,101,NA,4.9,1233,"PG","Comedy"
"143478","It Took Guts",1979,7,NA,4.3,18,"","Comedy"
"143480","It Was an Accident",2000,96,NA,5.8,62,"","Comedy"
"143486","It's All Gone Pete Tong",2004,90,NA,8,108,"R","Comedy"
"143487","It's Always Fair Weather",1955,102,2062256,7,324,"","Comedy"
"143491","It's Got Me Again!",1932,7,NA,5.7,12,"","Comedy"
"143492","It's Great to Be Young!",1956,94,NA,6.2,52,"","Comedy"
"143493","It's Greek to Me-ow!",1961,7,NA,2.8,27,"","Comedy"
"143495","It's Hard to Be Good",1948,93,NA,5.8,6,"","Comedy"
"143496","It's Hummer Time",1950,7,NA,6.6,12,"","Comedy"
"143499","It's Love Again",1936,83,NA,6.6,26,"","Comedy"
"143500","It's Love I'm After",1937,90,NA,7.4,204,"","Comedy"
"143501","It's Murphy's Fault",1988,102,NA,4,5,"","Comedy"
"143503","It's My Turn",1980,91,NA,5.4,164,"","Comedy"
"143504","It's Never Too Late",1956,91,NA,6,6,"","Comedy"
"143506","It's Nice to Have a Mouse Around the House",1965,7,NA,6,17,"","Comedy"
"143507","It's Not Cricket",1949,71,NA,6.7,20,"","Comedy"
"143508","It's Not Easy Being Greek",1998,24,NA,9,12,"","Comedy"
"143510","It's Now or Never",1996,44,NA,6.1,9,"","Comedy"
"143512","It's Only Money",1962,83,NA,5.8,111,"","Comedy"
"143513","It's Pat",1994,77,NA,2.5,2624,"","Comedy"
"143515","It's That Man Again",1943,84,NA,5.2,9,"","Comedy"
"143516","It's Tough to Be Famous",1932,79,NA,5.6,14,"","Comedy"
"143517","It's Tough to Be a Bird",1969,21,NA,7.1,30,"","Comedy"
"143518","It's Trad, Dad!",1962,78,NA,6.5,24,"","Comedy"
"143520","It's Your Move",1945,17,NA,6.3,5,"","Comedy"
"143521","It's a Big Country",1951,89,NA,5.7,47,"","Comedy"
"143522","It's a Bikini World",1967,86,NA,4,15,"","Comedy"
"143525","It's a Date",1940,103,NA,6.5,49,"","Comedy"
"143526","It's a Dog's Life",1955,88,NA,6.4,63,"","Comedy"
"143527","It's a Gift",1923,10,NA,7.5,22,"","Comedy"
"143528","It's a Gift",1934,73,NA,7.7,728,"","Comedy"
"143529","It's a Grand Life",1953,102,NA,6,7,"","Comedy"
"143530","It's a Great Feeling",1949,85,NA,6.1,163,"","Comedy"
"143531","It's a Great Life",1943,72,NA,6.2,25,"","Comedy"
"143532","It's a Hap-Hap-Happy Day",1941,7,NA,4.5,10,"","Comedy"
"143533","It's a Joke, Son",1947,63,NA,6,20,"","Comedy"
"143534","It's a Mad Mad Mad Mad World",1963,192,9400000,7.2,5891,"","Comedy"
"143535","It's a Shame About Ray",2000,38,NA,7.5,31,"","Comedy"
"143536","It's a Small World",1935,70,NA,4.4,8,"","Comedy"
"143537","It's a Small World",1950,74,NA,6,6,"","Comedy"
"143539","It's a Wonderful World",1939,86,NA,7,324,"","Comedy"
"143540","It's a Wonderful World",1956,89,NA,5.7,7,"","Comedy"
"143541","It's an Ill Wind",1939,7,NA,6.6,8,"","Comedy"
"143542","It's in the Air",1938,74,NA,5.8,21,"","Comedy"
"143543","It's in the Bag!",1945,87,NA,6.9,47,"","Comedy"
"143545","It's in the Water",1997,100,NA,6.6,275,"","Comedy"
"143547","It's the Natural Thing to Do",1939,7,NA,6.8,11,"","Comedy"
"143548","It's the Old Army Game",1926,70,NA,7.7,19,"","Comedy"
"143550","Italia-Germania 4-3",1990,84,NA,5.9,26,"","Comedy"
"143552","Italian Job, The",1969,99,NA,7.2,4459,"","Comedy"
"143554","Italian Secret Service",1968,108,NA,7.7,15,"","Comedy"
"143555","Italian fast food",1986,89,NA,2.6,14,"","Comedy"
"143561","Italiencele",2004,82,NA,6.1,47,"","Comedy"
"143562","Italienreise - Liebe inbegriffen",1958,97,NA,3,8,"","Comedy"
"143563","Italiensk for begyndere",2000,97,NA,7.2,3776,"R","Comedy"
"143566","Itch in Time, An",1943,8,NA,7.5,39,"","Comedy"
"143577","Ivan Vasilyevich menyayet professiyu",1973,93,NA,8,311,"","Comedy"
"143583","Ivo il tardivo",1995,110,NA,5.2,38,"","Comedy"
"143591","Izakaya yurei",1994,110,NA,6.3,12,"","Comedy"
"143594","Iznogoud",2005,95,NA,3.5,43,"","Comedy"
"143602","J'ai faim!!!",2001,97,NA,4.6,108,"","Comedy"
"143604","J'ai mon voyage!",1973,89,NA,5,40,"","Comedy"
"143607","J'attendrai le suivant...",2002,4,NA,7.5,137,"","Comedy"
"143609","J'en suis!",1997,104,NA,6.3,152,"","Comedy"
"143614","J'me sens pas belle",2004,85,NA,7,96,"","Comedy"
"143615","J'peux pas dormir...",2000,10,NA,7.3,8,"","Comedy"
"143616","J-K Conspiracy, The",2004,89,44000,9.2,20,"","Comedy"
"143618","J. and S. - storia criminale del far west",1972,90,NA,5.6,20,"","Comedy"
"143626","Ja zuster, nee zuster",2002,100,NA,6.8,328,"","Comedy"
"143629","Jaane Bhi Do Yaaro",1983,143,NA,8.7,165,"","Comedy"
"143630","Jaani Dushman: Ek Anokhi Kahani",2002,170,NA,4.3,40,"","Comedy"
"143631","Jabberwocky",1977,105,500000,6,2109,"","Comedy"
"143633","Jack",1996,113,45000000,5.2,5256,"PG-13","Comedy"
"143635","Jack & Jill",1998,84,NA,4.8,26,"","Comedy"
"143636","Jack Ahoy",1934,70,NA,4.8,5,"","Comedy"
"143641","Jack Frost",1997,89,NA,3.9,1277,"R","Comedy"
"143642","Jack Frost",1998,101,50000000,4.5,2130,"PG","Comedy"
"143643","Jack Frost 2: Revenge of the Mutant Killer Snowman",2000,91,NA,2.7,460,"R","Comedy"
"143651","Jack and Sarah",1995,110,NA,6.4,1007,"PG","Comedy"
"143654","Jack and the Beanstalk",1952,78,683000,5.2,268,"","Comedy"
"143656","Jack o kavalaris",1979,111,NA,4.1,5,"","Comedy"
"143661","Jack the Bear",1993,99,NA,6.1,779,"","Comedy"
"143662","Jack the Dog",2001,85,NA,5.2,52,"","Comedy"
"143669","Jack-Wabbit and the Beanstalk",1943,7,NA,7.4,37,"","Comedy"
"143674","Jackass: The Movie",2002,87,5000000,6.1,8893,"R","Comedy"
"143682","Jackpot",2001,97,400000,5.2,213,"R","Comedy"
"143684","Jackpot, The",1950,85,NA,6.3,100,"","Comedy"
"143685","Jacks or Better",2000,76,NA,4.1,11,"","Comedy"
"143696","Jacqueline dans ma vitrine",2000,76,NA,5.2,5,"","Comedy"
"143707","Jagadeka Veerudu Attilokasundari",1990,153,NA,5.6,12,"","Comedy"
"143709","Jagdrevier der scharfen Gemsen",1975,76,NA,2.5,10,"","Comedy"
"143712","Jagoda u supermarketu",2003,83,NA,6,101,"","Comedy"
"143722","Jail Bait",1937,18,NA,6.3,18,"","Comedy"
"143724","Jail Busters",1955,61,NA,6.3,25,"","Comedy"
"143728","Jailbirds of Paradise",1934,18,NA,4.9,6,"","Comedy"
"143732","Jails, Hospitals & Hip-Hop",2000,90,NA,6.9,29,"R","Comedy"
"143737","Jak rozpetalem druga wojne swiatowa",1970,224,NA,7.5,97,"","Comedy"
"143738","Jak se budi princezny",1977,83,NA,7.1,39,"","Comedy"
"143740","Jak to sie robi",1974,78,NA,7.1,13,"","Comedy"
"143741","Jak to sie robi z dziewczynami",2002,90,NA,4.2,12,"","Comedy"
"143742","Jak vytrhnout velrybe stolicku",1977,80,NA,8.5,33,"","Comedy"
"143748","Jake Speed",1986,93,NA,4.3,180,"","Comedy"
"143749","Jake's Booty Call",2003,77,50000,7,10,"R","Comedy"
"143750","Jako jed",1985,76,NA,6.3,17,"","Comedy"
"143751","Jakob the Liar",1999,120,15000000,5.9,2544,"PG-13","Comedy"
"143756","Jalla! Jalla!",2000,88,NA,7.1,2881,"","Comedy"
"143758","Jalopy",1953,62,NA,6.4,43,"","Comedy"
"143759","Jalousie",1991,90,NA,4.7,5,"","Comedy"
"143763","Jambon d'Ardenne",1977,86,NA,6.2,5,"","Comedy"
"143768","James Gang, The",1997,95,NA,5.2,47,"R","Comedy"
"143775","Jan Rap en z'n maat",1989,118,NA,6.5,41,"","Comedy"
"143779","Jancio Wodnik",1993,101,NA,6.9,69,"","Comedy"
"143781","Jane Austen in Manhattan",1980,108,NA,4.8,37,"","Comedy"
"143782","Jane Austen's Mafia!",1998,83,10000000,4.8,2999,"","Comedy"
"143787","Jane White Is Sick & Twisted",2002,84,NA,5.3,171,"R","Comedy"
"143798","Janice Beard: 45 Words Per Minute",1999,81,NA,6.2,118,"","Comedy"
"143799","Janie",1944,102,NA,6.3,32,"","Comedy"
"143800","Janie Gets Married",1946,89,NA,5.7,13,"","Comedy"
"143801","Janika",1949,80,NA,5.2,11,"","Comedy"
"143803","Janis et John",2003,105,NA,5.9,166,"","Comedy"
"143804","Janitor, The",1993,4,NA,6,14,"","Comedy"
"143805","Janji Joni",2005,83,NA,8.4,10,"","Comedy"
"143809","January Man",1989,97,NA,5.3,1368,"","Comedy"
"143812","Japaner sind die besseren Liebhaber",1995,82,NA,5.6,50,"","Comedy"
"143823","Jardinier d'Argenteuil, Le",1966,86,NA,5.5,19,"","Comedy"
"143829","Jasper in a Jam",1946,7,NA,8.3,13,"","Comedy"
"143836","Jawbreaker",1999,96,NA,4.6,4016,"R","Comedy"
"143838","Jaws",1978,3,NA,7.6,24,"","Comedy"
"143845","Jay and Silent Bob Strike Back",2001,104,22000000,6.9,24211,"R","Comedy"
"143849","Jazz Daimyo",1986,85,NA,6.8,12,"","Comedy"
"143850","Jazz Fool, The",1929,6,NA,6.6,16,"","Comedy"
"143858","Je hais les acteurs",1986,90,NA,5.6,37,"","Comedy"
"143862","Je reste!",2003,102,NA,5.2,113,"","Comedy"
"143863","Je sais rien, mais je dirai tout",1973,78,NA,5.3,51,"","Comedy"
"143865","Je suis timide... mais je me soigne",1978,85,NA,5.8,121,"","Comedy"
"143868","Je suis une nymphomane",1970,103,NA,4.5,20,"","Comedy"
"143870","Je suis votre homme",2004,106,NA,6.7,28,"","Comedy"
"143879","Je vous aime",1980,100,NA,5.7,47,"","Comedy"
"143892","Jeans",1998,175,NA,4.5,56,"","Comedy"
"143894","Jebiga",2000,90,NA,6.9,58,"","Comedy"
"143895","Jede Menge Kohle",1981,100,NA,7.1,34,"","Comedy"
"143897","Jedi Hunter, The",2002,9,NA,6.2,46,"","Comedy"
"143899","Jeep, The",1938,7,NA,7,19,"","Comedy"
"143905","Jeffrey",1995,92,NA,6.5,2076,"R","Comedy"
"143908","Jeg - en marki",1967,90,NA,1.3,6,"","Comedy"
"143912","Jekyll and Hyde... Together Again",1982,87,NA,5.3,173,"","Comedy"
"143914","Jell-Ohh Lady",1999,22,NA,8.7,10,"","Comedy"
"143917","Jemima: Dating Is Murder",2003,9,NA,5.9,8,"","Comedy"
"143918","Jenaro el de los 14",1974,85,NA,3.8,8,"","Comedy"
"143920","Jeni - Jeni",1966,103,NA,8.5,39,"","Comedy"
"143933","Jennifer on My Mind",1971,90,NA,3.9,50,"","Comedy"
"143954","Jerk, The",1979,94,NA,6.8,6715,"","Comedy"
"143956","Jerky Boys, The",1995,82,NA,3.4,641,"","Comedy"
"143957","Jerky Turkey",1945,8,NA,7.2,44,"","Comedy"
"143959","Jerry Maguire",1996,139,50000000,7.3,34623,"R","Comedy"
"143960","Jerry and Jumbo",1953,7,NA,7.3,33,"","Comedy"
"143961","Jerry and Tom",1998,106,5000000,6.7,447,"R","Comedy"
"143962","Jerry and the Goldfish",1951,7,NA,7.1,30,"","Comedy"
"143963","Jerry and the Lion",1950,7,NA,6.7,35,"","Comedy"
"143964","Jerry's Cousin",1950,7,NA,7.4,62,"","Comedy"
"143965","Jerry's Diary",1949,7,NA,6,28,"","Comedy"
"143966","Jerry, Jerry, Quite Contrary",1966,7,NA,6,26,"","Comedy"
"143967","Jerry-Go-Round",1965,6,NA,5.1,19,"","Comedy"
"143968","Jersey Girl",1992,95,NA,5.1,276,"","Comedy"
"143969","Jersey Girl",2004,102,35000000,6.4,6853,"PG-13","Comedy"
"143970","Jersey Guy",2003,90,NA,1,9,"R","Comedy"
"143984","Jessica",1962,112,NA,5.9,23,"","Comedy"
"143991","Jesus Christ Vampire Hunter",2001,85,NA,5.5,539,"","Comedy"
"143992","Jesus Henry Christ",2001,18,NA,5.3,7,"","Comedy"
"143994","Jesus the Driver",2004,94,NA,9.3,7,"","Comedy"
"144001","Jet Cage, The",1962,6,NA,6.2,32,"","Comedy"
"144004","Jet Set",2000,106,NA,4.9,256,"","Comedy"
"144007","Jetsons: The Movie",1990,82,NA,4.6,445,"","Comedy"
"144008","Jetzt oder nie - Zeit ist Geld",2000,90,NA,6.3,186,"","Comedy"
"144011","Jeu de massacre",1967,90,NA,6,21,"","Comedy"
"144016","Jeux d'artifices",1987,99,NA,6.4,14,"","Comedy"
"144019","Jeux de l'amour, Les",1960,86,NA,7.8,11,"","Comedy"
"144026","Jewel Robbery",1932,70,NA,7.3,128,"","Comedy"
"144029","Jewel of the Nile, The",1985,106,NA,5.7,6662,"","Comedy"
"144033","Jezus is een Palestijn",1999,92,NA,6.2,199,"","Comedy"
"144035","Ji dong ji xia",1989,114,NA,6.9,115,"","Comedy"
"144046","Jiang jian zhong ji pian zhi zui hou gao yang",1999,81,NA,4.3,21,"","Comedy"
"144048","Jiang shi fan sheng",1987,84,NA,6.1,10,"","Comedy"
"144049","Jib-Borha Be Behesht Nemiravand",1993,94,NA,8.1,15,"","Comedy"
"144065","Jigureul jikyeora!",2003,118,NA,7.6,601,"","Comedy"
"144067","Jilao sishi",1996,112,NA,6.6,35,"","Comedy"
"144083","Jiminy Glick in La La Wood",2004,90,NA,6.3,71,"R","Comedy"
"144085","Jimmy Hollywood",1994,112,20000000,5.3,749,"","Comedy"
"144086","Jimmy Neutron's Nicktoon Blast",2003,5,NA,7.1,8,"","Comedy"
"144087","Jimmy Neutron: Boy Genius",2001,84,25000000,6,2280,"","Comedy"
"144090","Jimmy Show, The",2001,99,1000000,4.6,145,"R","Comedy"
"144091","Jimmy Walks Away",1997,7,NA,6.1,12,"","Comedy"
"144093","Jimmy the Gent",1934,67,NA,6.5,175,"","Comedy"
"144094","Jimmy the Kid",1983,85,NA,3.9,60,"","Comedy"
"144095","Jimmy the Kid",1999,86,NA,5.6,24,"","Comedy"
"144101","Jin tian bu hui jia",1996,110,NA,7.5,24,"","Comedy"
"144102","Jin yu man tang",1995,100,NA,7,120,"","Comedy"
"144104","Jing Gai'er",2004,108,700000,8.9,14,"","Comedy"
"144105","Jing cha gu shi III: Chao ji jing cha",1992,95,900000,6.7,2024,"R","Comedy"
"144106","Jing cha gu shi IV: Jian dan ren wu",1996,88,NA,6.2,2917,"PG-13","Comedy"
"144113","Jing zhuang nan xiong nan di",1997,103,NA,7.6,12,"","Comedy"
"144115","Jingi naki tatakai: Chojo sakusen",1974,118,NA,7.7,18,"","Comedy"
"144118","Jingi naki tatakai: Kanketsu-hen",1974,100,NA,7.1,19,"","Comedy"
"144120","Jingle All the Way",1996,88,60000000,4.7,6246,"PG","Comedy"
"144127","Jinx Money",1948,68,NA,6.7,19,"","Comedy"
"144128","Jinxed!",1982,103,NA,4.1,160,"","Comedy"
"144130","Jis Desh Mein Ganga Rehta Hain",2000,141,NA,5.1,20,"","Comedy"
"144135","Jit",1990,92,NA,6.7,16,"","Comedy"
"144136","Jitney Elopement, A",1915,33,NA,6,102,"","Comedy"
"144138","Jitterbug Follies",1939,9,NA,7.5,18,"","Comedy"
"144139","Jitterbugs",1943,75,310600,5.7,74,"","Comedy"
"144144","Jiyuan qiaohe",2000,100,NA,6.3,78,"","Comedy"
"144145","Jizda",1994,90,30000,7.5,196,"","Comedy"
"144146","Jo",1971,85,NA,6.8,304,"","Comedy"
"144147","Jo Jeeta Wohi Sikandar",1992,174,NA,7.6,156,"","Comedy"
"144152","Joana e Marcelo, Amor (Quase) Perfeito",2002,103,NA,8.6,10,"","Comedy"
"144160","Jocks",1987,91,NA,3.3,46,"","Comedy"
"144161","Jodi No.1",2001,140,NA,6.2,39,"","Comedy"
"144166","Joe Butterfly",1957,90,NA,6.5,18,"","Comedy"
"144169","Joe Dirt",2001,91,16000000,5.1,5514,"PG-13","Comedy"
"144170","Joe Glow the Firefly",1941,7,NA,6.3,10,"","Comedy"
"144177","Joe Palooka Meets Humphrey",1950,65,NA,5.1,5,"","Comedy"
"144178","Joe Palooka in Humphrey Takes a Chance",1950,62,NA,6.5,5,"","Comedy"
"144179","Joe Palooka, Champ",1946,70,NA,6,6,"","Comedy"
"144182","Joe Somebody",2001,98,38000000,5.5,1937,"PG","Comedy"
"144183","Joe Versus the Volcano",1990,102,NA,5.3,8136,"","Comedy"
"144185","Joe's Apartment",1996,80,13000000,5,2169,"PG-13","Comedy"
"144188","Joe's Wedding",1997,99,NA,3.3,28,"","Comedy"
"144192","Joey",1997,96,NA,4.4,72,"PG","Comedy"
"144193","Joey Boy",1965,91,NA,4.1,9,"","Comedy"
"144194","Joey Breaker",1993,92,NA,4.1,49,"","Comedy"
"144196","Jofroi",1933,52,NA,7,9,"","Comedy"
"144200","Johann Mouse",1952,8,NA,7.6,53,"","Comedy"
"144205","John Boorman Stole My Screenplay",2004,3,2000,2.8,5,"","Comedy"
"144208","John Goldfarb, Please Come Home",1965,96,4000000,4.8,170,"","Comedy"
"144217","John Loves Mary",1949,96,NA,4,42,"","Comedy"
"144221","John Travolto... da un insolito destino",1979,87,NA,6.8,8,"","Comedy"
"144223","John and Julie",1955,82,NA,5.6,17,"","Comedy"
"144234","Johnny Bagpipes",1998,13,NA,8,12,"","Comedy"
"144235","Johnny Be Good",1988,91,NA,4,969,"","Comedy"
"144241","Johnny Dangerously",1984,90,NA,5.7,2505,"","Comedy"
"144242","Johnny Dark",1954,85,NA,5.3,52,"","Comedy"
"144243","Johnny Doesn't Live Here Any More",1944,79,NA,5.7,10,"","Comedy"
"144245","Johnny English",2003,87,35000000,5.6,8125,"PG","Comedy"
"144248","Johnny Flash",1986,77,NA,5.9,111,"","Comedy"
"144264","Johnny Ostrich and His American Songbag",2002,13,NA,8.8,11,"","Comedy"
"144268","Johnny Smith and Poker-Huntas",1938,8,NA,6.3,7,"","Comedy"
"144269","Johnny Stecchino",1991,121,NA,6.8,1332,"","Comedy"
"144271","Johnny Suede",1991,97,500000,5.8,594,"","Comedy"
"144273","Johnny Tolengo, el majestuoso",1987,90,NA,1.9,10,"","Comedy"
"144282","Johnson Family Vacation",2004,97,12000000,3.6,955,"PG-13","Comedy"
"144290","Jojo la frite",2002,86,NA,5.1,7,"","Comedy"
"144292","Joker",1991,108,NA,4.6,127,"","Comedy"
"144295","Jokers, The",1967,94,NA,6.4,120,"","Comedy"
"144296","Jokes My Folks Never Told Me",1978,82,NA,3.7,23,"","Comedy"
"144301","Joli coeur, Le",1984,91,NA,4.8,6,"","Comedy"
"144305","Jolly Bad Fellow, A",1964,94,NA,5.1,10,"","Comedy"
"144306","Jolly Blu",1998,90,NA,4.1,34,"","Comedy"
"144308","Jolly Good Furlough, A",1943,7,NA,5.1,8,"","Comedy"
"144309","Jolly Roger",1998,12,NA,6.6,13,"","Comedy"
"144311","Jologs",2002,110,NA,8.8,12,"","Comedy"
"144314","Jomfruene i Riga",1996,98,NA,4,15,"","Comedy"
"144317","Jonah: A VeggieTales Movie",2002,82,15000000,6.2,810,"","Comedy"
"144327","Jonny Vang",2003,85,NA,6.4,243,"","Comedy"
"144329","Jorden runt med Fanny Hill",1974,94,NA,3.7,11,"","Comedy"
"144337","Josefine Mutzenbacher",1970,89,NA,6.2,27,"","Comedy"
"144338","Joseph Andrews",1977,99,NA,5,76,"","Comedy"
"144341","Josephine and Men",1955,98,NA,5.8,7,"","Comedy"
"144343","Josette",1938,73,NA,5.6,5,"","Comedy"
"144345","Josh Jarman",2004,96,1300000,5.4,21,"","Comedy"
"144346","Josh and S.A.M.",1993,89,18000000,5.2,281,"","Comedy"
"144348","Joshua Oh Joshua",2001,90,NA,5,9,"","Comedy"
"144349","Joshua Then and Now",1985,119,NA,6.2,155,"","Comedy"
"144353","Josie and the Pussycats",2001,98,22000000,5.2,4508,"PG-13","Comedy"
"144357","Jouet, Le",1976,95,NA,6.8,249,"","Comedy"
"144362","Jour de gloire, Le",1976,94,NA,4.4,17,"","Comedy"
"144370","Journalist, The",1979,95,NA,3.9,10,"","Comedy"
"144390","Journey to Lasta",2004,125,NA,7.4,7,"","Comedy"
"144414","Joy Scouts",1939,11,NA,6.5,5,"","Comedy"
"144417","Joy of Living",1938,90,NA,6.8,68,"","Comedy"
"144418","Joy of Sex",1984,93,NA,2.8,130,"","Comedy"
"144419","Joyce Story, A",2003,85,NA,9.2,5,"","Comedy"
"144425","Joysticks",1983,88,NA,3.4,157,"","Comedy"
"144435","Juana la loca... de vez en cuando",1983,87,NA,3.3,15,"","Comedy"
"144448","Judge Hardy and Son",1939,90,NA,6.1,33,"","Comedy"
"144449","Judge Hardy's Children",1938,78,NA,6.2,36,"","Comedy"
"144450","Judge Priest",1934,81,NA,6.5,148,"","Comedy"
"144451","Judge Steps Out, The",1949,91,NA,6.9,21,"","Comedy"
"144453","Judge for a Day",1935,8,NA,5.9,10,"","Comedy"
"144475","Juego de amor prohibido",1975,85,NA,5.8,8,"","Comedy"
"144476","Juego de la silla, El",2002,93,NA,6,28,"","Comedy"
"144477","Juego de la verdad, El",2004,95,NA,6,38,"","Comedy"
"144478","Juego peligroso",1967,94,NA,7.9,7,"","Comedy"
"144480","Juen diu daai ngok",1989,104,NA,5.5,5,"","Comedy"
"144481","Juet sai ho bun",2004,103,NA,5.8,18,"","Comedy"
"144482","Jueves, milagro, Los",1957,85,NA,7.2,66,"","Comedy"
"144487","Jugeulrae salrae",2003,91,NA,2,5,"","Comedy"
"144497","Juha",1999,78,NA,7,427,"","Comedy"
"144501","Jui kuen",1978,107,NA,7.4,1861,"PG-13","Comedy"
"144502","Jui kuen II",1994,99,2000000,7.5,4628,"R","Comedy"
"144504","Juke Box Jamboree",1942,7,NA,7,7,"","Comedy"
"144506","Juke Joint",1947,68,NA,4.9,21,"","Comedy"
"144507","Juke-Bar",1989,10,NA,6.4,30,"","Comedy"
"144511","Julefrokosten",1976,87,NA,5.8,32,"","Comedy"
"144514","Julia Has Two Lovers",1991,86,NA,4.6,152,"","Comedy"
"144515","Julia Julia",1981,99,NA,3.9,10,"","Comedy"
"144516","Julia Misbehaves",1948,99,NA,6.8,96,"","Comedy"
"144517","Julia, Du bist zauberhaft",1962,94,NA,7.2,23,"","Comedy"
"144518","Julian Po",1997,84,NA,5.9,471,"PG-13","Comedy"
"144528","Julie pot de colle",1977,90,NA,4.8,17,"","Comedy"
"144531","Juliette et Juliette",1974,90,NA,5.8,6,"","Comedy"
"144539","Jumanji",1995,104,65000000,6,14874,"PG","Comedy"
"144541","Jument verte, La",1959,90,NA,6.2,28,"","Comedy"
"144544","Jump Tomorrow",2001,97,NA,6.8,364,"PG","Comedy"
"144545","Jump for Glory",1937,85,NA,6,11,"","Comedy"
"144546","Jump the Gun",1997,124,NA,8.3,33,"","Comedy"
"144547","Jumpin' Jack Flash",1986,100,NA,5.3,4125,"","Comedy"
"144548","Jumpin' Jupiter",1955,7,NA,6.6,45,"","Comedy"
"144551","Jumping Jacks",1952,96,NA,5.8,138,"","Comedy"
"144552","Jumping for Joy",1955,91,NA,5.6,20,"","Comedy"
"144556","June Bride",1948,96,NA,7,225,"","Comedy"
"144563","Jungfrauen von Bumshausen, Die",1970,95,NA,4.5,12,"","Comedy"
"144568","Jungle 2 Jungle",1997,105,NA,4.7,2203,"PG","Comedy"
"144572","Jungle Book, The",1967,78,NA,7.5,9027,"","Comedy"
"144581","Jungle Gents",1954,64,NA,5.6,27,"","Comedy"
"144587","Jungle Jitters",1938,8,NA,5.2,20,"","Comedy"
"144595","Jungle Rhythm",1929,7,NA,6.3,8,"","Comedy"
"144599","Junglee",1961,139,NA,6.8,31,"","Comedy"
"144603","Juninin no yasashii nihonjin",1991,116,NA,8.1,25,"","Comedy"
"144605","Junior",1994,109,NA,4.6,6293,"","Comedy"
"144606","Junior Bonner",1972,100,NA,6.7,481,"","Comedy"
"144610","Junior Miss",1945,94,NA,7.8,43,"","Comedy"
"144615","Junkies, The",2000,23,NA,8.5,6,"","Comedy"
"144622","Juoksuhaudantie",2004,111,NA,6.5,101,"","Comedy"
"144624","Jupiter's Darling",1955,95,NA,5.5,78,"","Comedy"
"144627","Jurassic Fart",1996,3,NA,5.3,16,"","Comedy"
"144631","Jurk, De",1996,95,2650000,6.8,274,"","Comedy"
"144633","Jury Duty",1995,88,NA,3.5,1978,"PG-13","Comedy"
"144637","Just Across the Street",1952,79,NA,6.7,7,"","Comedy"
"144638","Just Add Pepper",2002,90,75000,5.1,6,"","Comedy"
"144640","Just Around the Corner",1938,70,NA,5.9,60,"","Comedy"
"144641","Just Ask for Diamond",1988,83,NA,5.3,45,"","Comedy"
"144646","Just Dogs",1932,7,NA,6.6,44,"","Comedy"
"144647","Just Ducky",1953,7,NA,6,24,"","Comedy"
"144649","Just Friends",1996,99,NA,5.8,36,"","Comedy"
"144651","Just Indian",2004,92,NA,3.7,11,"","Comedy"
"144654","Just Like a Woman",1992,105,NA,5.9,107,"R","Comedy"
"144655","Just Looking",1995,84,NA,4.8,55,"","Comedy"
"144656","Just Looking",1999,97,3000000,6.2,436,"R","Comedy"
"144658","Just Married",2003,95,NA,5,5954,"PG-13","Comedy"
"144659","Just Mickey",1930,7,NA,6.1,7,"","Comedy"
"144660","Just My Luck",1957,86,NA,5.4,38,"","Comedy"
"144661","Just Neighbors",1919,13,NA,5.7,11,"","Comedy"
"144663","Just One Night",2000,88,NA,5.7,73,"PG-13","Comedy"
"144665","Just One Time",1999,111,NA,6.5,242,"R","Comedy"
"144666","Just One of the Guys",1985,100,NA,5.7,1560,"","Comedy"
"144667","Just Plane Beep",1965,7,NA,4.8,17,"","Comedy"
"144668","Just Say No",2000,8,NA,4.7,10,"","Comedy"
"144669","Just Tell Me What You Want",1980,112,NA,5.4,87,"","Comedy"
"144670","Just This Once",1952,90,NA,6.3,21,"","Comedy"
